name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
The Whole Truth - 5 Grain Muesli No Added Sugar,32500,20,6,26000,350,FALSE,350
Ching's Secret  Pad Thai Noodles Green Curry,20000,0,6,20000,130,FALSE,130
Aashirvaad Suji Halwa With Jaggery,7500,0,6,7500,70,FALSE,70
Mother's Recipe Mango Pickle ,12000,0,1,12000,400,FALSE,400
Ching's Secret Pad Thai Noodles - Extra Hot Thai Chilli,20000,0,6,20000,130,FALSE,130
Kellogg's Special K Original Corn Flakes,39900,11,6,35500,900,FALSE,900
Knorr Sweet Corn Chicken Soup,5500,0,2,5500,42,FALSE,42
Ching's Secret Tomato Soup,5500,0,6,5500,55,FALSE,55
Funfoods Peanut Butter Creamy,16900,0,1,16900,400,FALSE,400
Japanese Choice Udon Noodles,29500,9,6,26600,250,FALSE,250
Kelloggs Muesli - With 22% Fruit Magic,32000,10,5,28800,500,FALSE,500
Dabur Hommade - Kalonji Tamatar Ki Chutney,6500,6,6,6100,200,FALSE,200
Kitchens Of India Dal Makhani,11000,30,1,7700,285,FALSE,285
Aashirvaad Suji Halwa With Jaggery,5500,30,6,3800,80,FALSE,80
Del Monte Green Chili Sauce,5500,0,3,5500,190,FALSE,190
Pedigree Dog Food Adult Chicken & Veg,66000,10,1,59400,3000,FALSE,3
Kellogg's Original Corn Flakes,18500,5,6,17500,475,FALSE,475
Pedigree Puppy Dry Dog Food Food Chicken & Milk,69000,6,2,64800,3000,FALSE,3
Kitchens Of India Rajma Masala,11000,30,5,7700,285,FALSE,285
Kitchen Of India Ready-To-Eat Pindi Channa,11000,30,2,7700,285,FALSE,285
Figaro Pitted Black Olive ,17900,0,6,17900,450,FALSE,450
Cantina Tabasco Red Sauce,14000,15,6,11900,60,FALSE,60
Mother's Recipe Pickle - Mixed,14900,26,6,10900,500,FALSE,500
Nestle Cerelac Baby Cereal with Milk 5 Grains & Vegetables from 18 to 24 Month,27900,0,5,27900,300,FALSE,300
Mother's Recipe Tamarind Paste,5000,2,2,4900,200,FALSE,200
Pedigree Meat Jerky Adult Dog Treat Barbecued Chicken,14000,20,6,11200,80,FALSE,80
Veeba Peri Peri Sauce,16100,0,6,16100,300,FALSE,300
Pantai Sriracha Yellow Chilli Sauce,22500,15,6,19100,200,FALSE,200
Praakritik Organic Jumbo Rolled Oats,19000,11,6,16900,500,FALSE,500
Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodles,12300,0,6,12300,600,FALSE,600
Pantai Spring Roll Sauce,27500,10,6,24500,200,FALSE,200
MTR Vermicelli Payasam,7500,0,6,7500,180,FALSE,180
Bagrrys Corn Flakes,35000,0,6,35000,880,FALSE,800
MTR Ready To Eat Palak Paneer ,13500,11,6,12000,300,FALSE,300
Del Monte Red Chili Sauce,5500,0,5,5500,190,FALSE,190
Kitchens of India Mutter Paneer Mix,12000,30,4,8400,285,FALSE,285
Pantai Green Curry Paste,6000,6,6,5600,50,FALSE,50
The Laughing Cow Cheese Spread Plain,11000,0,6,11000,180,FALSE,180
MTR Dal Fry,11000,0,5,11000,300,FALSE,300
Pantai Fish Sauce,27500,14,6,23400,200,FALSE,200
Cantina Beans Mexican Beans,25000,14,6,21300,410,FALSE,410
Ching's Secret Manchurian Instant Noodle,11400,0,6,11400,480,FALSE,480
Remia Salad Italian Dressing ,23000,0,6,23000,250,FALSE,250
Yummiez Veg Cheese Fingers Pouch,23000,0,4,23000,400,FALSE,400
MTR Dal Makhani,11000,0,4,11000,300,FALSE,300
MTR Ready to Eat Pav Bhaji,11000,0,6,11000,300,FALSE,300
Weikfield Tomato Salsa Instant Pasta,2500,0,1,2500,77,FALSE,77
Nestlé CERELAC Baby Cereal with Milk,27200,0,1,27200,300,FALSE,300
Remia Salad Caesar Dressing,25000,0,6,25000,250,FALSE,250
Bagrrys Fruit N Fibre Muesli Mixed Fruit,33000,0,6,33000,500,FALSE,500
MTR Paneer Butter Masala & Veg Pulao,17500,9,4,15800,375,FALSE,375
Sundrop Cocoa Nut Hazelnut Chocolatey Spread,12000,0,6,12000,160,FALSE,160
Moi Soi Manchurian Sauce - For Stir Fry Marinade Spread & Dip,28000,50,6,14000,175,FALSE,175
Pedigree Dog Food Adult Meat & Rice,66000,7,2,60800,3000,FALSE,3
Pantai Sriracha Green Chilli Sauce,22500,15,6,19100,200,FALSE,200
Pantai Chilli Garlic Sauce,27500,14,6,23400,200,FALSE,200
Pantai Dark Soy Sauce,27500,14,6,23400,200,FALSE,200
Yoga Bar Peanut Butter Dark Chocolate Jar,24900,0,4,24900,400,FALSE,400
Cantina Tabasco Green Sauce,14000,15,6,11900,60,FALSE,60
Pantai Pad Thai Sauce (Non-Veg),32500,9,5,29300,200,FALSE,200
Pantai Sweet Chilli Sauce,27500,14,6,23400,200,FALSE,200
Ching's Secret Schezwan Instant Noodle,11400,0,6,11400,480,FALSE,480
Yummiez Chicken Garlic Fingers Pouch,25000,0,5,25000,400,FALSE,400
Pediasure Premium Chocolate Powdered Health Drink,61000,0,2,61000,400,FALSE,400
Chings Secret Hot Garlic Instant Noodles,9100,0,6,9100,60,FALSE,60
Godrej Yummiez Cheese Corn Nuggets ,23000,0,4,23000,400,FALSE,400
Pantai Hot Chilli Sauce,27500,14,6,23400,200,FALSE,200
Knorr International Mexican Tomato Corn Soup ,6500,6,3,6100,52,FALSE,52
Bagrry's Fruit Fibre Muesli Mixed Fruit ,59500,0,5,59500,1000,FALSE,1
MTR Roasted Vermicelli ,10500,0,4,10500,850,FALSE,850
Maggi 2-Minute Instant Noodles - Masala,4400,0,0,4400,280,TRUE,280
